132	Delivery	a	The perfume has a mild and gentle smell, it doesn't give you a headache. The product was delivered very quickly. I just loved the product.
133	Delivery	a	suprr4 besttt moisturizing for my skin ...I lv it...nd dillverrryyy boy suprrr fsttt
134	Product	a	nice
135	Product	a	good
136	Delivery	a	good product. but packing and delivery are very bad
137	Price	a	value for money
138	Product	a	So so
139	Product	a	nice
140	Packaging	a	Nice packing by Flipkart.... its original product
141	Delivery	a	Suggested by mohini yadav And best Amazon service by delivered pakeg
142	Product	a	Good for any kind of skin, excellent absorbing property.
143	Product	a	Seems like a super nice hair tonic its non greasy and i got visibly smoother hair. I totally recommend you to try it!
144	Price	a	ok type
145	Product	a	Good
146	Price	a	Best product best price ever i am so happy thank you flipkart
147	Packaging	a	Got an invalid coupon in that.. This product is manufactured in the month of April that's y I m unable to get cashback by scanning it's QR CODE PACKAGING IS VERY BAD, SEAL WAS OPENED
148	Product	a	thanks to flipkart
149	Product	a	good
150	Delivery	a	gud product... gud delivery..
151	Price	a	Value for money
152	Delivery	a	oil is good, but delivery boy is very bad behavior
153	Product	a	ok product
154	Product	a	very very good
155	Delivery	a	I didn't get it where is my parachute coconut hair oil your wish master cheat me
156	Price	a	Good offers
157	Price	a	Lovely and long lasting fragrance
158	Price	a	It's a value for money product!
159	Packaging	a	This product was broken.
160	Product	a	Good Product
161	Delivery	a	Good products
162	Packaging	a	Sampoo was not full its half
163	Product	a	nice product
164	Delivery	a	nice product with nice fragrance and delivery is so fast by Flipkart
165	Price	a	True roots botanical hair tonic is good. I m using this last 70 days. it's natural and pure. fragrance is mild. made up with natural ingredients. easy to apply. now no more gray hair. try it. value of money.
166	Product	a	Not for long time
167	Delivery	a	I didn't get it where is my parachute coconut hair oil your wish master cheat me
168	Product	a	Excellent
169	Delivery	a	The perfume has a mild and gentle smell, it doesn't give you a headache. The product was delivered very quickly. I just loved the product.
170	Price	a	Value for money
171	Product	a	nice
172	Delivery	a	Product is missing
173	Product	a	Really nice product from amazon
174	Product	a	very bad product..
175	Product	a	good
176	Packaging	a	cap broken oil spilled.. another 90ml oil not given
177	Product	a	ok
178	Delivery	a	Product Note Deliverd Show Wrong Deliverd
179	Delivery	a	very good product... thanks to Flipkart for a very fast delivery...
180	Price	a	This is an excellent shower gel for the price at which it's available
181	Delivery	a	Good quality nd nice delivery
182	Delivery	a	Product is missing
183	Product	a	ok
184	Delivery	a	u will happy with this product .. pure and fast delivery..
185	Delivery	a	I ordered for oily skin bt I received face wash for sensitive skin.... very disappointed....
186	Price	a	Nice with amazing price
187	Delivery	a	This is what I got
188	Packaging	a	very good product for morning breakfast. Fast and timely delivery by Flip Cart
189	Product	a	AMAZON IS GOOD SHOP ONLINE
190	Delivery	a	Value for money product with fast and on time delivery!
191	Price	a	value of money
192	Price	a	Value for money
193	Price	a	Nice product and edible item is good for health very thin and I happy when cooking my wife best for health
194	Delivery	a	good product. but packing and delivery are very bad
195	Delivery	a	very good delivery.. thanks ekart..
196	Product	a	super
197	Product	a	nic e product
198	Packaging	a	Presentation very bad , the oats jar totally broken in the cartoon and spilt all around, received it in a very pathetic condition
199	Product	a	super
200	Price	a	This one is very important for me..and the price is also good.
201	Packaging	a	The bottle is in very pathetic condition. Oil splitted all over the box....... n the bottle neck was broken. M not bying anymore
202	Price	a	Affordable price
203	Price	a	Value for money
204	Delivery	a	Good product and on time delivery
205	Product	a	not good scent also i get one cap for two scents i order , didnt wanted to have headache for such small issue hence kept it and using it rarely
206	Price	a	Good product in price range
207	Product	a	Using True Roots from past one week and I can see partial results as the growth of white hairs has reduced and am thinking to continue this product. The hair texture and quality has improved a lot, Thank you Flipkart -
208	Product	a	Good
209	Delivery	a	nice product with nice fragrance and delivery is so fast by Flipkart
210	Delivery	a	Product is missing
211	Price	a	A Good Deal
212	Packaging	a	Bottle is damaged.. not satisfy
213	Price	a	good product. delivery before time. smell nice
214	Product	a	good
215	Product	a	Mast h
216	Packaging	a	Default piece, lotion half spoiled in box
217	Price	a	using livon from long time.got nice deal
218	Delivery	a	good and best delivery
219	Product	a	Good product
220	Delivery	a	Worthable Product and properly delivered.Hairdrier also good.
221	Delivery	a	good product fast delivery
222	Product	a	Good
223	Price	a	very nice at great discount
224	Delivery	a	good product best delivery service..... thanks flipkart
225	Packaging	a	nice good packing
226	Packaging	a	oil was splitting out from the bottle but the product is really good and I liked Its smell
227	Product	a	nice
228	Delivery	a	delayed delivery .product is ok
229	Delivery	a	curiour boy so lazy
230	Delivery	a	chudu sarvic
231	Packaging	a	delivered a expeir product
232	Price	a	Nice FRAGRANCE.... SUPER WORTH TO PRICE
233	Price	a	good product with good price......
234	Packaging	a	body lotion is good but expire date is 09/2020 and product is old one
235	Delivery	a	u will happy with this product .. pure and fast delivery..
236	Delivery	a	My all time Favorite. Thank You Amazon for the Discount and Safe shipping.
237	Price	a	This is the best chocolate scent I have come across after trying so many.
238	Price	a	Best moisturizer for dry skin
239	Packaging	a	Product is damaged and missing few items when arrived. Very poor experience
240	Packaging	a	Nice, fresh scent. A good shower gel. The bottle's front and rear portion had scratches though. Packing was excellent. Timely delivery on Prime.
241	Packaging	a	I got the package leaked Small quantity on the bottom There is no return policy
242	Packaging	a	broken nob
243	Delivery	a	Product Note Deliverd Show Wrong Deliverd
244	Delivery	a	best taste n fastest delivery bcuz of flipkart......thank u flipkart
245	Product	a	Good
246	Product	a	Nice
247	Delivery	a	good product. but packing and delivery are very bad
248	Delivery	a	Product is good selar chitar h
249	Product	a	Lighter than others.
250	Price	a	U get 3 of awesome scent of combos at this price Doesn t seems it's long lasting but each n every bottle smells good it won't disappoint. U can Go for it.
251	Product	a	ok
252	Price	a	Thank u for d offer
253	Delivery	a	Got recently manufactured product and very fast delivery
254	Packaging	a	pakeg is very poor condition oil already leake
255	Price	a	Velue for money
256	Product	a	Good one
257	Price	a	value for money
258	Product	a	Ok
259	Product	a	Works As same as your regular face wash , but with a nicer scent And Cleanses your skin as you've never been touched by pollution .
260	Price	a	Good product, value for money
261	Delivery	a	Just yesterday received the product, checked the product on the next day, hair Dryer isn't working at all...upon that no return policy. Not worth of spndng amount to this offer at all... Delivers the product which can't be used....
262	Price	a	Got it @170
263	Product	a	Suuuuuuuuuper
264	Packaging	a	Not sealed pack.. not even fresh product..seems used product delivered
265	Packaging	a	spray is good. I received used one not 135 ml. its used product cheated by flipkatt
266	Price	a	Fragrance is light and not too much difference between fragrances.But at the end very good product at low price
267	Delivery	a	oil is good, but delivery boy is very bad behavior
268	Delivery	a	Value for money product with fast and on time delivery!
269	Product	a	Nice
270	Price	a	Scent has mild fragrance and last about 14-15 hours, more than any deodorant and perfume. Value for money
271	Price	a	Value for money
272	Delivery	a	appears nice early delivery thanks
273	Delivery	a	I ordered for oily skin bt I received face wash for sensitive skin.... very disappointed....
274	Packaging	a	I really liked the product's packing. A refreshing face wash.
275	Packaging	a	the serum is ok....but the cap of serum is leaked...dissatisfied after receiving the product....
276	Product	a	Ok
277	Product	a	I lyk it very mch..
278	Delivery	a	nice fragnence. speed delivery, thanks flipcart
279	Price	a	It's overall good except for high money it has to reduce... Prices must not be more than 75
280	Packaging	a	I've ordered the same before as well and the product worked well. Now when the bottle was about to get over I placed another order which I received today. The inner packaging was greasy because of the leakage of the serum. When opened, the bottle is leaking as it can be seen in the images. The aroma and the colour of the serum also seems to be different as compared to the product that I am currently using. This seems either to be an old stock or a fake product. Please see if this may be replaced.
281	Price	a	Value for money
282	Product	a	Best
283	Packaging	a	Nice Cream by Nivea #cloudtail packing is good......
284	Packaging	a	Product was not same.
285	Product	a	till the day no results found its been like 16-17 days
286	Packaging	a	No problem with the product but the packaging is very bad
287	Price	a	True roots botanical hair tonic is good. I m using this last 70 days. it's natural and pure. fragrance is mild. made up with natural ingredients. easy to apply. now no more gray hair. try it. value of money.
288	Delivery	a	Worthable Product and properly delivered.Hairdrier also good.
289	Delivery	a	very good delivery.. thanks ekart..
290	Product	a	very nice product thanks Flipkart
291	Price	a	worth for money dont afraid to buy ..good good good
292	Product	a	True Roots made with potent botanical actives. True Roots botanical hair tonic delays hair greying from the roots it is clinically proven .Mon sticky formula no need to wash off . use daily for best result
293	Delivery	a	This product has offer. We can save rs.100, but delivery charges so high. So we can buy in shop
294	Delivery	a	Product is missing
295	Product	a	item is no good .
296	Price	a	Got 2 for 200
297	Product	a	Marico co. is known for its good products. have been using oils etc since long. This hair tonic is all Ayurvedic preparation, basically aimed at providing melanin to hair roots. Easy to apply . spray content on hlscalp and massage. non sticky. No need to wash also. using now for last one week. If works well , surely will continue in daily hair care regime.
298	Packaging	a	yes i like good product & packing was good
299	Delivery	a	nice fragnence. speed delivery, thanks flipcart
300	Delivery	a	good with quick delivery
301	Price	a	Kimat wasul
302	Delivery	a	thanks flipkart for faster delivery
303	Product	a	amazing
304	Price	a	Good moisturizer
305	Packaging	a	Its value for money and good product but packing is very worst its the first time like this from amazon other than all is ok
306	Delivery	a	tnx your service gud
307	Product	a	One of my friend recommended true roots botanical hair tonic . I m using it last few days and I m liking it. It is non sticky formula which get absorbed quickly . It also smell nice , there is no medicinal smell . This contain lords of herbs which are known for ther therapeutics properties . Am looking forward for a positive result for the tonic and will try update the results after using it for at least a month or so.
308	Product	a	items is ok
309	Product	a	Super
310	Delivery	a	u will happy with this product .. pure and fast delivery..
311	Price	a	Nice Product and Perfume is Well...
312	Packaging	a	Seal is opened, but no return, what is this
313	Price	a	Very good at this price
314	Price	a	I got it for freaking Rs.150. Yes 3 for 150. Maybe a bug or something during the deal. The scent is good and lasts only thing is that it doesn't smell premium. But that's too much to ask for when you get it at @50 each. Even if the 3 pack retails @300, it's worth it.
315	Packaging	a	packing was not good
316	Price	a	Very nice
317	Product	a	Good
318	Packaging	a	These perfume bottles are less then half
319	Product	a	good
320	Product	a	Happy with the product
321	Product	a	good
322	Product	a	Nice & genuine
323	Delivery	a	Good product and on time delivery
324	Price	a	Good quality oats in the indian market whole oats , seal packed Loved it Price is bit high than instant oats but no issues
325	Product	a	Its smell is good and refreshing
326	Product	a	supar
327	Product	a	Scent is very nice and it dwell
328	Packaging	a	Bottle is broken
329	Price	a	Xlent
330	Price	a	Nice purchase at rs 300
331	Packaging	a	Half of the bottle was empty
332	Product	a	Nice scent but not long lasting
333	Delivery	a	Good quality nd nice delivery
334	Price	a	Gd product
335	Price	a	awesome
336	Packaging	a	Cap was in broken condition.
337	Packaging	a	Value for money, good packaging.
338	Product	a	Nice
339	Packaging	a	nice packing
340	Delivery	a	Bad
341	Product	a	Received the right product thanks
342	Product	a	very nice product thanks Flipkart
343	Product	a	ok
344	Price	a	Value for money
345	Delivery	a	The product was open and oil was leaking scent was not same . Delivered product was appearing fake copy of Livon. Can't change so lost money on this order.
346	Price	a	very good offer
347	Product	a	Didn't like much the flavour!
348	Price	a	Great
349	Price	a	i bought this in offer price that is something 130 Rs.. the product is nice overall. but packing was little disappointing that it may raise question to its authenticity... but i recommend this product.!
350	Delivery	a	Very good and thnks to delivery in time..
351	Packaging	a	Dislike combo
352	Packaging	a	Seal is opened, but no return, what is this
353	Delivery	a	good product.. excellent delivery
354	Price	a	Very nice product
355	Packaging	a	I loved this product. The only thing is I recd only 14 sachets instead of 15.
356	Product	a	Ok
357	Price	a	Smart
358	Delivery	a	I haven't received it instead I received the same packet of soup flavored Italian mix vegetables
359	Product	a	very good
360	Packaging	a	good and nice packaging
361	Price	a	Value for money and nice smell
362	Packaging	a	Best moisturer but the bottle cap broke off at the 2nd use
363	Price	a	i like himalaya products this pack is very good mrp 470 i got it for 388 and qty same very good i like it
364	Delivery	a	product was good but I faced soo many days to get deliver it takes 12 days to deliver my house and exceeds the maximum limit also
365	Packaging	a	Got a wrong product. Instead of Anti hair fall I got classic. Not able to return product also. Very disappointing.
366	Price	a	Best shampoo for hairs at this price
367	Product	a	good
368	Delivery	a	Good delivery at right time
369	Price	a	Really a great product been using it for 1 week . Best alternative to hair colors Value for money
370	Price	a	Current product. My mom love it.
371	Price	a	Nice product good Quintity
372	Delivery	a	I haven't received it instead I received the same packet of soup flavored Italian mix vegetables
373	Product	a	good
374	Price	a	The flavours are good. But the product is on the expensive side. The crunchies are the cherry on the top
375	Product	a	good oil and very light weight.
376	Price	a	good product I am happy in this price
377	Packaging	a	Not full bottle half bottle perfume
378	Price	a	best price 96 good quality
379	Price	a	Got this at 349 rs ...
380	Product	a	nice
381	Packaging	a	I received fake and damage product
382	Delivery	a	The responsibility of the delivery boy was great. Appreciation...!!! Serum smells heaven but it's intensity is high. Hope it meets the Expectation.
383	Delivery	a	good and best delivery
384	Price	a	Good low price good quality
385	Packaging	a	I dont think that it contains 100gm ....
386	Delivery	a	this is the only oil dat our grandmother olwyz use.. so quick delivery, nd got in 170 onlyyy
387	Product	a	Marico co. is known for its good products. have been using oils etc since long. This hair tonic is all Ayurvedic preparation, basically aimed at providing melanin to hair roots. Easy to apply . spray content on hlscalp and massage. non sticky. No need to wash also. using now for last one week. If works well , surely will continue in daily hair care regime.
388	Product	a	Nice
389	Price	a	value for money
390	Product	a	nice product
391	Product	a	Nice Product
392	Price	a	lowest price 106
393	Packaging	a	I was just shocked when I opened the package which was delivered to me the product is broken I have uploaded the picture
394	Delivery	a	suprr4 besttt moisturizing for my skin ...I lv it...nd dillverrryyy boy suprrr fsttt
395	Price	a	Very nice deo
396	Product	a	good
397	Packaging	a	Bottle is broken
398	Packaging	a	Okay quantity for what you pay for
399	Delivery	a	product is good but 3 star is given only for too long delivery time. it should have been delivered with in 2-3 days.
400	Packaging	a	Damaged product... Fully disappointed... Don't buy this product... Not returnable.. And nothing to use...
401	Packaging	a	it was leaking
402	Price	a	it will fill your life with good odour, far better than the market retail price
403	Product	a	Nice .
404	Price	a	Value for money
405	Packaging	a	Seal was cracked of both the bottles and due to this , there was leakage.
406	Packaging	a	it is damaged
407	Price	a	The cost is affordable and it's useful.
408	Product	a	good freshner
409	Price	a	worth of money
410	Packaging	a	Opened product from below and leaked as can seen both in pic.
411	Packaging	a	Product is damaged and missing few items when arrived. Very poor experience
412	Product	a	Good
413	Packaging	a	bottle having half bottle perfume only.
414	Product	a	best
415	Packaging	a	good but bottle was damage at point
416	Packaging	a	Damage
417	Product	a	nice product online service best product good hair oil
418	Packaging	a	leake
419	Packaging	a	Am not satisfied with this cuz u hv sent damaged product
420	Product	a	I have been using this product for a long time and all my stretch marks are gone.
421	Product	a	Off course livon is the best serum I m using dat since long
422	Price	a	Value for money
423	Packaging	a	I am feeling very unhappy because of its show two packet of oil but I found only one packet of oil.
424	Price	a	price is too reasonable and product packing is so nice
425	Product	a	i am happy with the product....
426	Delivery	a	gud product... gud delivery..
427	Packaging	a	leaked product
428	Price	a	Value for money
429	Product	a	Soso
430	Product	a	Poor
431	Packaging	a	Please don't buy this product as they are selling an already expired product. They have also rubbed the manufactured date of the freebie.
432	Delivery	a	good with quick delivery
433	Price	a	Very Good Product, Worth of Money Spent. Can use for daily use.
434	Product	a	nice
435	Product	a	awesome m pr0duct
436	Packaging	a	Default piece, lotion half spoiled in box
437	Packaging	a	One of the packed deodorants was already used. This is horrible
438	Packaging	a	Not sealed pack.. not even fresh product..seems used product delivered
439	Delivery	a	Good products
440	Product	a	True Roots made with potent botanical actives. True Roots botanical hair tonic delays hair greying from the roots it is clinically proven .Mon sticky formula no need to wash off . use daily for best result
441	Delivery	a	fast delivery and good product
442	Delivery	a	gud product... gud delivery..
443	Price	a	This is such a great deal to receive. Glad enough.
444	Price	a	Nice with cheap price
445	Packaging	a	I received this product with open seal.
446	Delivery	a	My all time Favorite. Thank You Amazon for the Discount and Safe shipping.
447	Delivery	a	Good quality nd nice delivery
448	Delivery	a	Fastdilvory
449	Product	a	thanks to flipkart
450	Product	a	product is good
451	Price	a	Product is good but miss one comb
452	Product	a	awesome product from perk avenue
453	Delivery	a	gud product... gud delivery..
454	Product	a	Good
455	Packaging	a	Product was damaged/broken when I recieved it
456	Price	a	It s save price for me. And very good small.
457	Product	a	worthy
458	Price	a	price is better than local market
459	Packaging	a	Received damaged one. Bottle was empty
460	Packaging	a	Product is damaged, iam not satisfied with this.
461	Product	a	useless.
462	Product	a	not good packing
463	Product	a	Good product
464	Delivery	a	Good products
465	Price	a	Best price product...
466	Packaging	a	The pump action does not work. Damaged in transit and this product cannot be returned
467	Delivery	a	suprr4 besttt moisturizing for my skin ...I lv it...nd dillverrryyy boy suprrr fsttt
468	Packaging	a	Were Half Filled.
469	Price	a	SUPER PRODUCT
470	Product	a	nice product
471	Product	a	Bab products
472	Packaging	a	this product was damaged
473	Product	a	good
474	Price	a	Value for money
475	Price	a	value for money
476	Delivery	a	The item arrived on time and the delivery guy was nice
477	Product	a	original product
478	Delivery	a	amazing product in this range & delivery boy was very cooperative.
479	Packaging	a	spray fully leaking...
480	Delivery	a	fragrance are good! delivery 10 on 10
481	Product	a	Not so good not so bad it is just what u paid for
482	Delivery	a	I order for Classic but delivered Extra light. Wrong item delivered.
483	Price	a	Good perfume... Nice price...
484	Price	a	Valuefor money
485	Packaging	a	The product was defected..it was leaking inside.
486	Price	a	awesome
487	Product	a	nice
488	Packaging	a	good packaging ... product delivered... thank you flipkart
489	Price	a	A perfect body spray , smells good , stay long , though a lil expensive , but worth it.
490	Product	a	Good for gas & acidity problem.
491	Packaging	a	Perfume not seal pack i think used product
492	Price	a	Value for money
493	Price	a	Value for money
494	Price	a	Super cream for daily use, it has UV protection so you can wear it in sunlight. Make sure to dry off the skin before applying or it might become sticky. The quantity is huge for this price.
495	Product	a	Perfect
496	Delivery	a	nice product it's smell is good ... thanks to Flipkart timely deliver.....
497	Packaging	a	Delivered the damaged one. Fully spilled in the container. Not useful for usage.
498	Product	a	Nyc quality
499	Packaging	a	old and use product
500	Delivery	a	very good delivery.. thanks ekart..
501	Price	a	Good cream
502	Packaging	a	Damage
503	Price	a	best in this price
504	Packaging	a	Pack
505	Product	a	Of course one of the best products in serum for hair. must buy the product. Price is cheap as well and it has a nice fragrance
506	Delivery	a	gud product... gud delivery..
507	Price	a	thank you
508	Delivery	a	Dont buy..i got only quarter tube around 25 gm approx...it was already used.....waste of money
509	Delivery	a	Good fragrance and lowest price but delivery time is too late.
510	Delivery	a	I didn't get it where is my parachute coconut hair oil your wish master cheat me
511	Packaging	a	The buttons of those bottles are not good. One of the bottle button stopped working infact not even getting pressed. Price wise it's cheap but not worth
512	Product	a	must buy
513	Delivery	a	Nice fragrance for both(product and delivery boy)
514	Price	a	got at cheap price.. also its genuine nd new stock product
515	Price	a	good offer flipkart
516	Delivery	a	suprr4 besttt moisturizing for my skin ...I lv it...nd dillverrryyy boy suprrr fsttt
517	Price	a	it is good perfume according to price...
518	Product	a	Good one
519	Delivery	a	product is good but delivery very slow so i request to flipkar fast your delivery.
520	Product	a	good
521	Price	a	Nice order...Full value of money
522	Product	a	excellent product, nice fragrance
523	Product	a	good oil
524	Price	a	good price save 80 rs
525	Price	a	Value for money
526	Delivery	a	Good fragrance and lowest price but delivery time is too late.
527	Packaging	a	Broken vaseline body lotion pump
528	Packaging	a	Got leaked bottle
529	Packaging	a	Damaged product received
530	Delivery	a	very good product... thanks to Flipkart for a very fast delivery...
531	Packaging	a	No seal is there. packing is worst this time , the liquid spread the out side of the bottle. I am not happy this time with the product.
532	Delivery	a	This product has offer. We can save rs.100, but delivery charges so high. So we can buy in shop
533	Delivery	a	it's really good. working well for my hair. good delivery by flipkart
534	Price	a	This lip balm from Vaseline is a great one at such a price. Smoothens the lips and imparts a light pinkish color to the lips which looks very much natural.
535	Price	a	Good fragrance
536	Product	a	Totally Rejected.. Taste is very bad...
537	Product	a	Good product
538	Packaging	a	Products is very good.. Bt quantity was very low not 400 ml which was being shown..
539	Packaging	a	delivered a expeir product
540	Packaging	a	poor packing 1pic damaged
541	Delivery	a	product is good but delivery very slow so i request to flipkar fast your delivery.
542	Price	a	Presentable gift pack n branded products at great offer price
543	Price	a	Good money
544	Product	a	super
545	Delivery	a	Dont buy..i got only quarter tube around 25 gm approx...it was already used.....waste of money
546	Packaging	a	Worth every penny. Packed on 29 May 2019 with 12 months of expiry and I ordered it on 16th of August. So no problem with the quality.
547	Product	a	Feels good
548	Packaging	a	Lid is sealed and Unable to open the lid and Need Replacement Immediately.
549	Delivery	a	The responsibility of the delivery boy was great. Appreciation...!!! Serum smells heaven but it's intensity is high. Hope it meets the Expectation.
550	Delivery	a	good product. but packing and delivery are very bad
551	Product	a	super
552	Delivery	a	I order for Classic but delivered Extra light. Wrong item delivered.
553	Product	a	Pure alovera oil
554	Price	a	very nice oil
555	Product	a	waste
556	Delivery	a	curiour boy so lazy
557	Delivery	a	good product fast Delivery
558	Packaging	a	oil is lecage
559	Price	a	quality product
560	Packaging	a	Very less quantity
561	Packaging	a	spray is good. I received used one not 135 ml. its used product cheated by flipkatt
562	Delivery	a	oil is good, but delivery boy is very bad behavior
563	Packaging	a	Product received with pump lock open and content spilled out into the box. Disappointed with packing.
564	Delivery	a	good product fast delivery
565	Packaging	a	received damaged product and is not allowed to replace/return
566	Delivery	a	curiour boy so lazy
567	Delivery	a	gud product... gud delivery..
568	Price	a	Yes price is too low on site so I buy it .good product
569	Price	a	Nice fragrance . It hide body Odor & it's long lasting too ..
570	Price	a	nice and original
571	Product	a	thanks
572	Delivery	a	chudu sarvic
573	Product	a	ncy
574	Price	a	price is vary high
575	Product	a	Scent yak
576	Packaging	a	The product came with a broken cap!!!
577	Packaging	a	Got what was orderd, product is seal pack, well packaged and delivery on time. Mfg date is 8 months back but is not outdated and will be valid next 2 year's.
578	Product	a	good product
579	Product	a	Good experience with shower gel
580	Product	a	very good spray
581	Product	a	Good
582	Product	a	nice
583	Price	a	wonderful body spray ....no need to clarify ....u just blindly go through this item
584	Product	a	I love it
585	Product	a	fine
586	Packaging	a	Expiry date is not available
587	Packaging	a	The product came with a broken cap!!!
588	Delivery	a	fast delivery and good product
589	Packaging	a	packaging was average, looks locally pack in small town in India, quality of liquid was almost half, it deserves one star but I will give two star because of it's fragrance
590	Delivery	a	Got recently manufactured product and very fast delivery
591	Price	a	very reasonable price.. good product
592	Packaging	a	This item was damaged. The nozzle was broken with the moisturiser leaking from the bottle. It cannot be returned.
